"","STATE","COUNTY","POPESTIMATE2019","fips"
"1","01","000",4903185,"01000"
"2","01","001",55869,"01001"
"3","01","003",223234,"01003"
"4","01","005",24686,"01005"
"5","01","007",22394,"01007"
"6","01","009",57826,"01009"
"7","01","011",10101,"01011"
"8","01","013",19448,"01013"
"9","01","015",113605,"01015"
"10","01","017",33254,"01017"
"11","01","019",26196,"01019"
"12","01","021",44428,"01021"
"13","01","023",12589,"01023"
"14","01","025",23622,"01025"
"15","01","027",13235,"01027"
"16","01","029",14910,"01029"
"17","01","031",52342,"01031"
"18","01","033",55241,"01033"
"19","01","035",12067,"01035"
"20","01","037",10663,"01037"
"21","01","039",37049,"01039"
"22","01","041",13772,"01041"
"23","01","043",83768,"01043"
"24","01","045",49172,"01045"
"25","01","047",37196,"01047"
"26","01","049",71513,"01049"
"27","01","051",81209,"01051"
"28","01","053",36633,"01053"
"29","01","055",102268,"01055"
"30","01","057",16302,"01057"
"31","01","059",31362,"01059"
"32","01","061",26271,"01061"
"33","01","063",8111,"01063"
"34","01","065",14651,"01065"
"35","01","067",17205,"01067"
"36","01","069",105882,"01069"
"37","01","071",51626,"01071"
"38","01","073",658573,"01073"
"39","01","075",13805,"01075"
"40","01","077",92729,"01077"
"41","01","079",32924,"01079"
"42","01","081",164542,"01081"
"43","01","083",98915,"01083"
"44","01","085",9726,"01085"
"45","01","087",18068,"01087"
"46","01","089",372909,"01089"
"47","01","091",18863,"01091"
"48","01","093",29709,"01093"
"49","01","095",96774,"01095"
"50","01","097",413210,"01097"
"51","01","099",20733,"01099"
"52","01","101",226486,"01101"
"53","01","103",119679,"01103"
"54","01","105",8923,"01105"
"55","01","107",19930,"01107"
"56","01","109",33114,"01109"
"57","01","111",22722,"01111"
"58","01","113",57961,"01113"
"59","01","115",89512,"01115"
"60","01","117",217702,"01117"
"61","01","119",12427,"01119"
"62","01","121",79978,"01121"
"63","01","123",40367,"01123"
"64","01","125",209355,"01125"
"65","01","127",63521,"01127"
"66","01","129",16326,"01129"
"67","01","131",10373,"01131"
"68","01","133",23629,"01133"
"69","02","000",731545,"02000"
"70","02","013",3337,"02013"
